interior,ttr,servicios,materiales,monto,zona,bu
0,1.57,1,43,73.714,11,BUC
0,2.35,1,57,105.052,8,BUC
0,1.23,1,109,160.582,5,BUC
0,2.01,1,5,55.5,11,BUC
0,1.48,1,100,152.76,10,BUC
0,2.61,1,71,8.2,10,BUC
0,2.05,1,110,161.046,1,BUC
0,2.09,1,79,37.422,8,BUC
0,2.43,1,114,163.484,4,BUC
0,2.02,1,1,10.860000000000001,13,BUC
0,2.96,1,111,163.624,9,BUC
0,1.08,1,1,15.69,15,BUC
0,2.38,1,157,131.972,11,CORE
0,2.43,1,106,125.98,14,BUC
0,3.09,1,54,65.124,12,BUC
0,0.72,1,1,6.5,4,BUC
0,2.02,1,1,6.38,16,CORE
0,2.28,1,7,84.15,14,CORE
0,3.53,1,198,96.468,13,BUC
0,1.91,1,1,6.38,16,BUC
0,1.2,1,1,3.3,12,BUC
0,3.65,2,110,161.62800000000001,1,TIGO STAR
0,1.85,1,5,58.38,12,BUC
0,3.81,1,205,113.41000000000001,15,CORE
0,2.39,1,89,113.348,13,BUC
0,10.27,2,227,1061.02,19,TIGO STAR
0,7.5,1,3,20,13,CORE
0,5.09,6,291,1369.65,14,BUC
0,3.14,1,156,182.196,12,BUC
0,3.02,1,119,165.804,6,BUC
0,2.24,1,7,60.84,1,BUC
0,3.67,1,4,109.38,12,BUC
0,3.13,1,2,10.08,10,TIGO STAR
0,2.28,1,98,515.94,17,TIGO STAR
0,2,1,73,129.234,1,BUC
0,1.07,1,9,112.65,1,BUC
0,1.81,1,153,90.048,11,BUC
0,1.22,1,1,3.3,12,BUC
0,4.63,3,39,886.34,4,TIGO STAR
0,3.7,1,90,112.28,7,BUC
0,1.67,3,66,88.982,10,BUC
0,1.08,1,87,94.13000000000001,7,BUC
0,1.42,1,43,35.178,10,BUC
0,2.61,1,79,37.606,19,BUC
0,2.29,1,66,86.684,1,BUC
0,4.01,1,397,769.4100000000001,13,CORE
0,4.61,1,368,425.42,16,TIGO STAR
0,1.21,1,3,54.96,4,BUC
0,1.75,1,1,8.77,12,BUC
0,3.18,1,16,516.45,4,TIGO STAR
0,1.46,1,3,54.96,4,BUC
0,2.11,1,124,26.08,12,BUC
0,1.6,2,1,2.8299999999999996,1,BUC
0,1.27,1,3,10.03,15,BUC
0,3.77,1,272,184.566,4,BUC
0,3.26,1,544,945.71,19,TIGO STAR
0,4.76,1,1,3.77,11,CORE
0,0.9,1,1,39,4,BUC
0,1.22,1,1,8.77,10,BUC
0,1.72,1,1,2.7600000000000002,14,BUC
0,2.45,1,1,2.7600000000000002,10,CORE
0,2.51,1,70,72.548,7,BUC
0,1.21,1,1,8.77,2,BUC
0,1.81,1,2,6.6,9,BUC
0,2.51,1,128,101.75800000000001,7,BUC
0,4.18,1,97,24.189999999999998,4,BUC
0,3.53,1,119,55.216,4,BUC
0,0.88,1,1,8.77,1,BUC
0,2.54,1,2,54.69,13,BUC
0,1.1,1,1,3.3,10,BUC
0,1.86,1,125,129.286,4,BUC
0,2.74,1,113,123.902,3,BUC
0,1.34,1,2,54.69,1,BUC
0,2.52,1,6,85.5,7,TIGO STAR
0,2.28,1,77,129.936,1,BUC
0,3.76,1,6,196.25,3,TIGO STAR
0,1.73,1,25,19.15,1,BUC
0,0.83,1,1,2.7600000000000002,2,BUC
0,2.54,1,37,19.99,1,BUC
0,0.93,1,50,21.889999999999997,9,BUC
0,0.65,1,1,8.77,17,BUC
0,7.06,1,5,114.42,9,BUC
0,1.56,1,108,103.87400000000001,17,BUC
0,1.66,2,2,9.46,21,BUC
0,0.84,3,3,181.13,18,CORE
0,1.9,1,45,15.08,1,BUC
0,1.03,1,1,3.3,1,BUC
0,15,1,900,243.00000000000003,17,BUC
0,1.72,1,1,10.860000000000001,3,CORE
0,2.58,1,34,11.08,11,BUC
0,3.8,1,514,301.45,2,BUC
0,3.21,1,106,161.304,1,BUC
0,2.73,1,87,80.43599999999999,8,BUC
0,3.55,1,94,151.14000000000001,11,BUC
0,3.57,2,142,591.78,16,CORE
0,0.83,1,48,20.759999999999998,8,BUC
0,1.9,1,113,163.02,10,BUC
0,0.89,1,1,3.3,10,BUC
0,1.2,2,112,93.568,11,BUC
0,3.46,1,147,72.804,6,TIGO STAR
0,0.99,1,152,126.96600000000001,10,BUC
0,0.76,1,116,148.42,10,ONE NETWORK
0,1.41,1,80,38.07000000000001,9,BUC
0,4.61,10,1,149.75,21,CORE
0,4.72,1,109,130.712,9,BUC
0,2.47,2,2,6.879999999999999,10,BUC
0,0.6,1,1,8.77,10,BUC
0,1.83,1,1,15.69,11,CORE
0,2.6,1,141,176.768,13,BUC
0,0.69,1,1,8.77,10,BUC
0,2.06,1,62,21.74,9,BUC
0,2.86,1,51,20.97,1,BUC
0,3.7,1,1,5.430000000000001,7,CORE
0,1.17,1,1,8.77,17,BUC
0,4.69,2,6,228.2,12,CORE
0,1.87,1,158,142.3,3,BUC
0,2.78,7,2,31.38,10,CORE
0,1.91,1,1,3.3,16,BUC
0,0.87,1,1,39,12,CORE
0,2.19,1,88,100.316,6,BUC
0,0.93,2,155,295.94,10,TIGO STAR
0,1.31,1,1,8.77,13,BUC
0,3.41,1,4,55.23,4,BUC
0,1.8,1,1,8.77,11,BUC
0,4.84,1,552,1521.954,11,CORE
0,1.78,1,92,119.76,13,BUC
0,1.36,1,50,20.9,13,BUC
0,4.32,1,113,183.22,15,TIGO STAR
0,2.21,1,134,94.15,18,BUC
0,1.68,1,30,8.100000000000001,17,BUC
0,1.69,1,2,6.6,10,BUC
0,2.19,1,100,50.230000000000004,2,TIGO STAR
0,1.33,3,50,41.269999999999996,10,CORE
0,2.18,1,103,49.324000000000005,2,BUC
0,2.9,1,138,121.236,2,BUC
0,6.41,1,104,103.55000000000001,12,BUC
0,1.97,1,102,156.956,8,BUC
0,2.03,1,257,123.07800000000002,10,BUC
0,0.93,1,94,45.148,11,BUC
0,5.78,1,163,300.64000000000004,6,TIGO STAR
0,4.77,1,341,325.25,6,BUC
0,2.82,1,2,54.69,9,BUC
0,3.57,2,170,586.39,10,CORE
0,2.71,1,85,474.21999999999997,10,BUC
0,4.38,1,5,212.51,10,BUC
0,3.28,1,107,103.41000000000001,10,BUC
0,1.91,2,96,151.68,13,BUC
0,1.9,1,56,133.508,3,BUC
0,9.17,2,1,1.56,9,CORE
0,1.55,1,2,6.6,9,BUC
0,1.89,1,2,40.23,12,BUC
0,1.79,1,8,112.38,9,BUC
0,1.43,1,80,23,14,BUC
0,4.92,1,6,57.69,11,BUC
0,1.62,1,155,127.02000000000001,8,BUC
0,2.32,1,100,133.45,8,TIGO STAR
0,2.67,2,8,267.52,18,CORE
0,0.68,1,1,6.38,11,BUC
0,0.73,1,2,5.5200000000000005,9,BUC
0,2.98,2,1,2.7600000000000002,4,CORE
0,3.47,1,1,15.69,10,BUC
0,1.55,1,1,8.77,5,BUC
0,1.38,1,123,72.298,10,BUC
0,2.53,1,39,2.7300000000000004,9,BUC
0,2.29,1,197,600.8,10,TIGO STAR
0,1.23,1,2,4.88,11,BUC
0,3.7,2,231,213.8,16,TIGO STAR
0,1.3,1,52,3.6400000000000006,13,BUC
0,1.46,1,2,5.5200000000000005,10,BUC
0,1.19,2,1,6.38,9,BUC
0,1.7,1,74,124.364,14,BUC
0,2.25,1,2,6.879999999999999,2,BUC
0,1.35,1,81,94.41,10,BUC
0,0.7,1,185,181.202,7,BUC
0,3.22,1,477,703.1600000000001,1,TIGO STAR
0,3.75,1,4,42.69,1,BUC
0,1.52,1,229,126.078,1,BUC
0,1.45,1,170,11.9,9,BUC
0,2.76,1,128,12.190000000000001,9,BUC
0,4.04,1,166,133.85000000000002,17,BUC
0,2.3,1,188,145.59,11,BUC
0,0.78,1,1,15.69,13,BUC
0,4.4,1,104,106.614,12,BUC
0,4.79,1,101,127,1,BUC
0,3.42,1,110,128.112,16,BUC
0,4.82,1,87,81.202,12,BUC
0,2.51,1,151,151.344,4,BUC
0,2.95,2,1,2.7600000000000002,11,BUC
0,2.28,1,2,6.6,14,BUC
0,6.9,1,107,88.184,10,BUC
0,4.34,1,21,1.4700000000000002,12,BUC
0,3.6,1,155,152.822,13,BUC
0,5.64,1,569,71.07000000000001,1,BUC
0,5.08,1,1,15.69,9,BUC
0,4.01,1,300,149.924,9,BUC
0,2.06,4,2,31.38,4,CORE
0,1.8,1,150,72.08200000000001,13,BUC
0,4.38,1,88,143.36,8,BUC
0,2.33,1,3,41.46,2,BUC
0,2.81,1,160,11.200000000000001,3,BUC
0,1.63,1,95,6.65,7,BUC
0,3.28,1,87,126.956,14,BUC
0,2.03,1,116,133.96,4,BUC
0,2.65,1,60,45.6,8,BUC
0,6,2,77,260.68,2,CORE
0,3.4,1,156,112.452,3,BUC
0,2.49,1,1,3.3,9,BUC
0,2.36,1,126,62.294000000000004,9,BUC
0,1.54,1,68,200.638,10,BUC
0,3.18,3,156,617.2,5,CORE
0,1.66,1,70,4.9,13,BUC
0,0.62,1,2,54.69,10,TIGO STAR
0,3.22,1,30,2.1,10,BUC
0,1.77,1,96,101.37,10,BUC
0,6.05,1,97,134.086,9,BUC
0,4.44,1,253,675.34,13,BUC
0,1.55,1,1,3.3,1,BUC
0,1.33,1,2,165.44,9,BUC
0,2.06,1,48,3.3600000000000003,9,BUC
0,2.09,1,12,0.8400000000000001,7,BUC
0,3.98,1,71,351.49974,8,BUC
0,1.92,2,159,585.63,10,CORE
0,4.33,1,107,239.8,11,TIGO STAR
0,7.56,2,651,2813.52,8,TIGO STAR
0,1.84,1,66,7.8500000000000005,7,BUC
0,4.23,1,206,411.41,6,TIGO STAR
0,1.43,1,10,2.7,13,BUC
0,3.97,1,186,217.84,12,TIGO STAR
0,1.68,1,5,25.75,12,BUC
0,3.03,1,73,113.74,3,TIGO STAR
0,2.61,1,137,143.704,10,BUC
0,0.93,1,1,3.3,3,BUC
0,1.31,1,69,110.62,11,BUC
0,1.91,1,39,2.7300000000000004,17,BUC
0,2.32,1,140,145.096,4,BUC
0,1.9,1,98,47.004000000000005,16,BUC
0,2.48,1,68,136.72,11,TIGO STAR
0,2.93,1,46,3.98,1,BUC
0,0.83,1,193,91.084,16,TIGO STAR
0,1.74,1,24,1.6800000000000002,14,BUC
0,3.59,2,4,8.65,12,BUC
0,2.57,1,110,130.41,4,BUC
0,1.54,1,151,71.208,2,BUC
0,1.62,1,2,78,10,BUC
0,1.86,1,105,7.3500000000000005,1,BUC
0,2.99,1,2,78,9,BUC
0,3.46,1,83,118.648,8,BUC
0,3.89,1,312,674.5,2,TIGO STAR
0,1.4,1,105,52.550000000000004,9,BUC
0,2.71,1,2,6.6,9,BUC
0,1.28,1,1,3.3,14,BUC
0,1.29,1,1,39,4,TIGO STAR
0,1.56,1,99,104.294,3,BUC
0,2.96,1,122,98.208,3,BUC
0,4.25,1,9,156.76,1,BUC
0,4.45,1,84,78.656,19,BUC
0,3.94,1,45,51.332,3,BUC
0,4.28,1,203,176.626,9,BUC
0,1.63,1,63,107.44800000000001,3,BUC
0,3.18,1,336,238.52200000000002,4,BUC
0,4.2,1,370,34.07,12,BUC
0,1.46,1,1,3.3,12,BUC
0,3.31,1,2,6.1899999999999995,7,BUC
0,4.46,1,149,189.72,7,TIGO STAR
0,2.4,1,300,81,9,BUC
0,1.74,1,238,170.636,6,TIGO STAR
0,3.59,1,292,30.13,2,BUC
0,2.39,1,116,51.732,11,BUC
0,1.98,1,1,3.3,12,BUC
0,2.35,1,98,87.726,1,BUC
0,1.77,1,137,144.838,12,BUC
0,3.17,1,149,149.65,1,BUC
0,3.35,3,15,637.53,18,CORE
0,2.19,1,1,39,13,BUC
0,1.43,1,2,6.6,11,BUC
0,4.47,1,2,51.47,9,BUC
0,1.22,1,80,5.6000000000000005,17,BUC
0,4.36,1,131,91.236,10,BUC
0,1.93,1,1,39,15,BUC
0,2.75,1,55,64.71000000000001,17,BUC
0,4.18,1,129,139.604,11,BUC
0,1.6,1,6,8.895,9,BUC
0,2.54,1,1,15.69,4,BUC
0,1.17,2,1,6.45,11,CORE
0,3.37,1,5,212.51,12,CORE
0,2.44,1,192,612.5,8,TIGO STAR
0,1.94,1,117,54.288000000000004,10,BUC
0,1.94,1,100,165.276,17,TIGO STAR
0,1.84,1,128,74.462,12,BUC
0,1.99,1,171,117.88000000000001,5,TIGO STAR
0,1.52,1,1,8.77,10,BUC
0,0.94,1,129,101.456,1,BUC
0,1.34,1,77,114.71000000000001,1,BUC
0,1.79,1,101,125.846,6,BUC
0,3.2,1,34,19.24,9,BUC
0,1.95,1,170,120.48,4,BUC
0,2.77,2,84,116.998,21,BUC
0,1.4,1,117,132.892,17,TIGO STAR
0,3.64,1,139,78.034,8,BUC
0,5.1,1,202,765.22,3,TIGO STAR
0,1.84,1,2,0.54,12,BUC
0,1.98,1,3,9.899999999999999,13,BUC
0,3.13,1,168,158.088,18,BUC
0,2.53,2,80,74.554,7,CORE
0,3.06,1,4,42.69,12,BUC
0,2.02,1,52,102.732,12,BUC
0,1.46,1,32,19.64,10,BUC
0,0.85,1,1,3.3,11,BUC
0,2.06,1,1,8.77,9,BUC
0,4.21,1,6,216.16,1,BUC
0,1.41,1,2,4.06,4,BUC
0,2.65,1,1,39,10,BUC
0,2.98,1,58,106.66,8,BUC
0,2.23,1,1,8.77,10,BUC
0,5.15,1,1,39,7,ONE NETWORK
0,3,1,101,86.432,4,BUC
0,1.98,1,60,22.18,10,BUC
0,1.09,1,15,24.384999999999998,9,BUC
0,3.55,1,312,27.85,21,BUC
0,2.35,1,22,16.93,9,BUC
0,2.58,1,108,131.78,15,BUC
0,1.99,1,45,59.416,4,BUC
0,2.1,1,3,3.69,7,BUC
0,1.09,1,3,3.6999999999999997,11,BUC
0,0.74,1,5,8.87,9,BUC
0,2.02,1,159,29.490000000000002,11,BUC
0,3.81,1,2,6.1899999999999995,7,BUC
0,4.05,1,107,138.338,9,BUC
0,2.8,1,237,109.968,8,BUC
0,1.61,1,39,15.285,9,BUC
0,1.53,1,1,8.77,16,BUC
0,4.19,1,8,0.2,10,BUC
0,3.33,1,2,51.47,4,BUC
0,1.44,1,114,129.96800000000002,8,BUC
0,1.2,1,4,0.1,9,BUC
0,1.93,1,98,122.54400000000001,6,BUC
0,2.1,1,76,14.06,6,BUC
0,2.62,1,234,108.57600000000001,9,BUC
0,1.83,1,1,8.77,10,BUC
0,3.16,6,92,309.58,10,CORE
0,1.29,1,1,39,16,TIGO STAR
0,1.98,1,57,38.454,7,BUC
0,2.52,1,115,163.88,18,TIGO STAR
0,1.5,1,1,8.77,10,BUC
0,1.91,1,114,129.386,13,BUC
0,1.34,1,5,8.87,13,BUC
0,2.54,2,192,127.62400000000001,3,CORE
0,1.87,1,3,8.82,12,BUC
0,1.57,1,72,22.439999999999998,14,BUC
0,1.92,1,102,24.54,12,BUC
0,0.63,1,127,135.612,16,BUC
0,0.82,1,1,3.3,10,BUC
0,1.52,1,5,8.87,11,BUC
0,2.43,1,68,108.624,7,BUC
0,2.26,1,107,138.726,3,BUC
0,3.86,1,97,307.19,16,TIGO STAR
0,3.22,2,1005,2263.38,12,CORE
0,1.41,1,130,137.392,7,BUC
0,2.52,1,103,86.328,16,TIGO STAR
0,1.16,1,1,3.3,12,BUC
0,1.8,1,155,148.99200000000002,13,TIGO STAR
0,1.98,1,77,17.14,9,BUC
0,1.34,1,10,2.7,4,BUC
0,3.66,1,82,75.42,10,BUC
0,1.84,1,82,17.580000000000002,9,BUC
0,5.84,1,6,228.2,1,CORE
0,1.23,1,5,40.08,11,BUC
0,8.5,1,1,2.7600000000000002,15,CORE
0,1.01,1,2,42.13,7,BUC
0,1.92,1,3,15.37,3,BUC
0,1.37,1,1,39,12,BUC
0,1.82,1,105,89.932,13,BUC
0,1.58,1,1,3.13,12,BUC
0,1.45,1,5,8.87,18,BUC
0,2.87,1,77,76.011,1,BUC
0,1.62,1,47,21.09,6,BUC
0,2.5,2,80,190.02,12,BUC
0,1.53,1,5,8.87,1,BUC
0,0.98,1,5,8.87,17,BUC
0,4.33,1,74,36.634,1,BUC
0,2.13,1,231,198.93800000000002,12,BUC
0,1.59,1,8,2.61,12,BUC
0,1.63,1,2,12.07,12,BUC
0,4.31,1,1,6.38,8,CORE
0,2.22,1,1,3.4299999999999997,11,BUC
0,2.42,1,122,102.606,18,TIGO STAR
0,2.18,1,1,0.27,11,BUC
0,3.85,1,8,269.02000000000004,4,TIGO STAR
0,4.17,1,5,212.51,1,TIGO STAR
0,1.5,1,104,208.25,8,TIGO STAR
0,2.18,1,93,83.22,3,BUC
0,1.71,1,27,18.84,1,BUC
0,1.43,2,1,4.119999999999999,4,BUC
0,1.39,1,3,51.74,7,BUC
0,2,1,67,109.876,7,BUC
0,0.78,1,5,8.87,14,BUC
0,1.83,1,109,131.856,7,BUC
0,1.42,1,66,108.84,2,BUC
0,1.21,1,2,20.58,10,CORE
0,0.98,1,10,17.74,1,BUC
0,2.5,1,57,115.904,2,BUC
0,1.88,1,90,43.292,21,BUC
0,5.16,17,1,3.77,12,CORE
0,2.77,1,1,3.3,10,BUC
0,2.04,1,104,51.32000000000001,6,BUC
0,3.05,3,157,181.18,4,TIGO STAR
0,1.72,1,7,49.38,21,BUC
0,0.74,1,102,88.928,16,CORE
0,2.22,1,4,39.81,7,CORE
0,0.68,1,1,3.3,9,BUC
0,2.02,2,1,4.119999999999999,10,BUC
0,2.13,1,73,73.94,15,CORE
0,2.22,1,134,26.78,9,BUC
0,1.29,1,7,8.92,10,BUC
0,1.98,1,115,54.504000000000005,4,BUC
0,3.46,1,3,36.42,2,TIGO STAR
0,3.18,1,143,70.182,8,CORE
0,3,1,207,618.4,8,TIGO STAR
0,1.97,1,119,132.288,11,BUC
0,1.71,1,1,3.03,12,BUC
0,2.5,10,151,553.54,10,CORE
0,2.62,1,60,24.379,2,BUC
0,1.58,1,9,0.9600000000000001,2,BUC
0,4,6,5,212.51,5,CORE
0,3.47,8,5,212.51,6,CORE
0,0.95,1,1,3.3,11,BUC
0,1.5,2,96,29.939999999999998,9,CORE
0,2.25,1,5,8.87,5,BUC
0,2.9,10,2,39.27,10,CORE
0,5.42,2,3,42.3,8,BUC
0,0.92,1,50,3.5000000000000004,5,BUC
0,2.75,1,58,60.476,10,BUC
0,1.42,2,1,2.7600000000000002,10,ONE NETWORK
0,2.58,2,84,588.34,12,CORE
0,3.03,1,134,103.776,10,TIGO STAR
0,1.1,1,1,10.860000000000001,12,CORE
0,1.93,1,9,83.73,3,BUC
0,2.07,1,115,131.382,18,BUC
0,4.02,2,1,4.119999999999999,12,BUC
0,0.75,1,1,9.229999999999999,12,CORE
0,1,2,1,4.930000000000001,10,BUC
0,0.89,1,1,3.3,9,BUC
0,2,1,203,19.770000000000003,12,BUC
0,1.75,1,84,117.19200000000001,9,BUC
0,1.67,1,1,11.69,8,CORE
0,2.08,1,100,184.755,9,BUC
0,0.97,1,2,6.6,10,BUC
0,2.75,2,132,849.63,9,CORE
0,3.77,1,1,3.65,21,BUC
0,1.36,1,6,43.23,4,BUC
0,2.78,1,82,38.048,2,CORE
0,2.17,2,1,149.75,18,CORE
0,2.27,1,1,4.119999999999999,11,BUC
0,0.83,1,10,0.25,11,BUC
0,1.75,1,1,3.3,13,BUC
0,4.76,1,70,219.2,18,TIGO STAR
0,3.61,1,107,90.86,10,BUC
0,1.36,1,50,23.200000000000003,10,BUC
0,3.02,1,115,132.72,13,BUC
0,1.67,1,3,7.72,10,BUC
0,1.2,1,1,39,18,TIGO STAR
0,2.47,3,1,39,2,CORE
0,1.15,1,5,11.58,10,BUC
0,4.77,1,1,7.05,8,CORE
0,2.34,1,2,0.05,17,BUC
0,2.17,1,57,7.220000000000001,10,BUC
0,1.02,1,58,107.812,18,BUC
0,7.25,5,179,126.302,7,BUC
0,2.33,1,165,118.92600000000002,18,TIGO STAR
0,1.08,1,1,0.025,4,BUC
0,0.92,1,3,1.35,2,BUC
0,3.97,1,84,8.16,9,BUC
0,3.67,1,4,0.1,12,BUC
0,3.72,1,65,37.74,11,BUC
0,1.75,1,89,80.37400000000001,7,BUC
0,1.52,1,44,16.026000000000003,3,BUC
0,1.72,1,45,20.28,14,BUC
0,2.08,2,110,95.10000000000001,18,TIGO STAR
0,0.97,2,1,6.38,6,CORE
0,1.67,1,10,12.27,12,BUC
0,2.25,1,78,123.73,4,BUC
0,2.57,1,5,40.08,1,BUC
0,2.75,1,106,129.504,7,BUC
0,1.23,1,66,109.228,10,BUC
0,2.47,2,99,55.452,9,TIGO STAR
0,2.33,1,87,17.84,9,BUC
0,1.83,1,72,5.040000000000001,13,BUC
0,6.03,1,10,425.02,18,CORE
0,3.17,1,158,252.1,2,TIGO STAR
0,1.25,1,5,8.87,9,BUC
0,2.9,1,130,154.126,19,TIGO STAR
0,1.88,1,154,152.358,10,ONE NETWORK
0,4.37,1,139,147.47,21,BUC
0,1.83,1,44,14.92,2,BUC
0,1.37,2,1,4.119999999999999,10,BUC
0,1.3,1,1,3.3,1,BUC
0,3.97,1,128,143.132,4,BUC
0,2.5,1,1,6.38,2,BUC
0,1.85,1,4,2.51,9,BUC
0,2.79,11,103,154.76,8,CORE
0,1.01,1,5,8.87,12,BUC
0,2.88,2,1,6.38,7,BUC
0,4.9,7,4,177.02,9,TIGO STAR
0,2.67,1,2,2.46,8,BUC
0,2.75,1,4,8.844999999999999,10,BUC
0,1.53,1,111,145.13,13,BUC
0,2.93,1,6,8.895,1,BUC
0,1.82,1,81,116.188,11,BUC
0,2.5,1,145,149.326,19,BUC
0,2.1,1,35,19.355,1,BUC
0,1.5,1,59,66.566,8,BUC
0,0.92,1,1,8.77,3,BUC
0,2.77,1,71,12.19,10,BUC
0,2.72,2,241,196.556,12,CORE
0,1.26,1,6,0.15000000000000002,1,BUC
0,1.56,1,7,8.92,12,BUC
0,1.13,1,127,98.006,12,BUC
0,3.28,1,67,29.108,10,BUC
0,1.2,1,3,8.82,14,BUC
0,3.62,2,1,3.65,9,BUC
0,3.05,1,220,220.604,1,BUC
0,1.3,1,5,0.125,10,BUC
0,2.43,1,95,49.510000000000005,9,BUC
0,0.97,1,6,8.895,9,BUC
0,2.7,2,240,218.674,8,TIGO STAR
0,1.49,1,59,21.259999999999998,12,BUC
0,1.8,1,62,108.904,2,BUC
0,1.91,1,1,3.3,10,BUC
0,1.53,1,144,165.38,9,BUC
0,2.44,1,1,1.23,10,ONE NETWORK
0,2.18,1,42,20.34,4,BUC
0,0.97,1,58,21.099999999999998,9,BUC
0,2.93,1,7,69.24000000000001,11,TIGO STAR
0,2.33,4,2,54.69,6,BUC
0,0.92,1,54,20.91,10,BUC
0,0.65,1,173,28.97,6,BUC
0,2.33,1,1,3.3,1,BUC
0,1.87,2,2,78,1,TIGO STAR
0,2.97,1,4,0.1,10,BUC
0,5.55,1,136,79.34,12,CORE
0,4.37,1,1,39,17,BUC
0,1.79,1,1,8.77,13,BUC
0,1.73,1,1,4.119999999999999,7,CORE
0,2.53,1,153,582.6899999999999,11,CORE
0,0.58,1,1,8.77,9,BUC
0,2.67,1,1,39,10,ONE NETWORK
0,1.13,1,92,55.58,12,BUC
0,2.08,1,1,8.77,12,BUC
0,1.92,1,4,12.12,8,BUC
0,1.68,1,78,46.984,9,BUC
0,2.79,1,89,119.9,16,CORE
0,1.22,1,5,8.87,10,BUC
0,1.26,1,121,25.69,1,BUC
0,0.75,1,106,24.46,15,BUC
0,1.31,1,121,97.744,8,TIGO STAR
0,2.92,6,167,604.5600000000001,7,TIGO STAR
0,6.25,18,496,2258.69,4,CORE
0,0.6,1,5,8.87,12,BUC
0,2.46,2,1,3.65,10,BUC
0,0.75,1,2,6.34,1,BUC
0,3.37,1,1,2.7600000000000002,10,BUC
0,1.53,1,76,74.45400000000001,6,BUC
0,3.63,1,96,155.3,1,CORE
